"X";"electricity..high.voltage...DE..electricity.production..deep.geothermal";"electricity..high.voltage...DE..electricity.production..hard.coal";"electricity..high.voltage...DE..electricity.production..hydro..pumped.storage";"electricity..high.voltage...DE..electricity.production..hydro..run.of.river";"electricity..high.voltage...DE..electricity.production..lignite";"electricity..high.voltage...DE..electricity.production..natural.gas..combined.cycle.power.plant";"electricity..high.voltage...DE..electricity.production..natural.gas..conventional.power.plant";"electricity..high.voltage...DE..electricity.production..nuclear..pressure.water.reactor";"electricity..high.voltage...DE..electricity.production..oil";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..multi.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..single.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..570kWp.open.ground.installation..multi.Si";"electricity..high.voltage...DE..electricity.production..wind...1MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind...3MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..offshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..onshore";"electricity..high.voltage...DE..heat.and.power.co.generation..biogas..gas.engine"
"1";"[sulfonyl]urea-compound//[RER] [sulfonyl]urea-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";"[thio]carbamate-compound//[RER] [thio]carbamate-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";"1,1-difluoroethane, HFC-152a//[US] 1,1-difluoroethane production, HFC-152a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"solvent, organic//[GLO] 1,1-dimethylcyclopentane to generic market for solvent, organic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"1-propanol//[RER] 1-propanol production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"solvent, organic//[GLO] 2,3-dimethylbutan to generic market for solvent, organic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"2,4-dichlorophenol//[RER] 2,4-dichlorophenol production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"2,4-dichlorotoluene//[RER] 2,4-dichlorotoluene production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";"2-methyl-2-butanol//[RER] 2-methyl-2-butanol production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";"solvent, organic//[GLO] 2-methylpentane to generic market for solvent, organic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"2-nitroaniline//[RER] 2-nitroaniline production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";"2-pyridinol//[RER] 2-pyridinol production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";"3-methyl-1-butyl acetate//[RER] 3-methyl-1-butyl acetate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";"4-methyl-2-pentanone//[RER] 4-methyl-2-pentanone production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";"4-tert-butylbenzaldehyde//[RER] 4-tert-butylbenzaldehyde production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";"4-tert-butyltoluene//[RER] 4-tert-butyltoluene production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";"absorption chiller, 100kW//[CH] absorption chiller production, 100kW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"acetaldehyde//[RER] acetaldehyde production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";"acetamide-anillide-compound, unspecified//[RER] acetamide-anillide-compound production, unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"acetanilide//[RER] acetanilide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";"acetic acid, without water, in 98% solution state//[RER] acetic acid production, product in 98% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";"acetic anhydride//[RER] acetic anhydride production, ketene route";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";"acetoacetic acid//[RER] acetoacetic acid production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";"acetone cyanohydrin//[RER] acetone cyanohydrin production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"25";"acetone, liquid//[RER] acetone production, liquid";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";"solvent for chromatography analysis//[GLO] acetonitrile to generic market for solvent for chromatography analysis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27";"acetyl chloride//[RER] acetyl chloride production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";"acetylene//[CH] acetylene production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";"aclonifen//[RER] aclonifen production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";"acrolein//[RER] acrolein production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
